,transmission_Dual Shift,HP,fuel_type_E85 Flex Fuel,cylinder_type_V,accident_1,turbo_Y,fuel_type_Electric,fuel_type_Gasoline,cylinder_type_Inline,transmission_Manual,cylinders,turbo_N,transmission_CVT,fuel_type_not supported,fuel_type_Plug-In Hybrid,fuel_type_Hybrid,transmission_speed,cylinder_type_Straight
23327,0,-0.29824446075090927,0,0,0,0,0,1,1,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
44347,0,1.259594492535238,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
43129,1,0.13989774486081968,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
50701,0,0.23726267944120388,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.8641875452188427,0
24992,1,-0.24956199346071717,0,0,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
27843,0,0.7240873523431249,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
4239,0,-1.7295089990825572,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
19791,0,-0.015886150467795054,1,0,1,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
9455,0,1.1135470906646618,0,1,0,1,0,1,0,0,-0.12743557513004955,0,0,0,0,0,1.6766567270693398,0
27930,0,-0.5903392644920619,0,0,0,0,0,1,1,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
1628,0,0.09121527757062757,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
11027,1,0.5488304700984333,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
30267,0,1.9216760476818506,0,0,0,0,0,1,1,0,3.676963986151493,1,0,0,0,0,0.8641875452188427,0
35787,0,-0.24956199346071717,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
48812,0,-0.006149657009756634,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.6766567270693398,0
34890,0,-0.15219705888033294,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
438,0,-0.3177174476669861,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
48951,1,-0.34692692804110137,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
32876,0,-0.24956199346071717,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,1.135010605835675,0
14516,0,0.7240873523431249,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.6766567270693398,0
46358,0,-0.34692692804110137,1,1,1,0,0,0,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
19377,0,0.48067501589216444,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.6766567270693398,0
43169,0,0.13989774486081968,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
38640,1,-1.125846404684175,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
48928,0,-0.10351459159014084,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
38380,1,-0.8337516009430224,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
22754,0,1.0648646233744696,0,0,0,0,0,1,1,1,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
37709,0,-1.6126710775860962,0,0,1,0,0,1,1,1,-1.3955687622238973,1,0,0,0,0,0.32254142398517793,0
30151,0,0.5196209897243181,0,0,0,0,0,1,1,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
2027,0,0.35410060093766493,0,0,0,0,0,0,0,0,-0.12743557513004955,1,0,0,0,1,0.5933644846020103,1
50750,0,0.13989774486081968,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
32805,0,-1.2718938065547514,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
26487,0,-0.24956199346071717,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
12461,0,-0.7655961467367535,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
52675,0,2.184561371048888,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.8641875452188427,0
43786,0,-0.23982550000267874,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
8275,0,-0.19114303271248664,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
45032,0,-0.39560939533129347,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
20791,0,-0.6877041990724461,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
34625,0,-1.4860966626315966,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
222,0,-1.1161099112261366,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
47410,0,-1.2232113392645592,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
35545,1,0.9674996887940854,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
20018,0,0.33633577076861243,0,1,0,1,0,1,0,0,-0.12743557513004955,0,0,0,0,0,-1.0315738790989837,0
28049,1,-0.7558596532787151,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
45903,0,1.259594492535238,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
33295,1,1.5030068289861986,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
20964,0,-1.885292894411172,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
8820,0,-1.4276777018833662,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.32254142398517793,0
36959,0,-0.14246056542229452,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
50565,0,-0.39560939533129347,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
3950,0,1.3082769598254302,0,0,0,0,0,1,1,1,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
14576,0,-0.7850691336528303,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
19788,0,-0.5903392644920619,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
13323,0,-0.5903392644920619,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
53814,0,-0.24956199346071717,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
30335,0,1.8729935803916586,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
24325,0,0.6754048850529328,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
18749,0,0.5390939766403949,1,0,1,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
31960,0,-0.23982550000267874,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
13401,0,1.0064456626262392,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
50559,1,-0.29824446075090927,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
21237,0,0.48067501589216444,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
4834,0,1.1135470906646618,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
22417,0,0.48067501589216444,0,1,0,1,0,1,0,0,-0.12743557513004955,0,0,0,0,0,1.6766567270693398,0
42370,0,-0.39560939533129347,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.32254142398517793,0
51634,0,-0.24956199346071717,0,0,1,0,0,1,1,1,1.1406976119637982,1,0,0,0,0,0.32254142398517793,0
6712,0,0.285945146731396,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
30444,0,-0.15219705888033294,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
53481,0,-0.29824446075090927,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
44006,0,0.13989774486081968,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
2921,0,-0.15219705888033294,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
34063,0,-0.5903392644920619,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
13457,0,0.285945146731396,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
40680,0,-1.2037383523484824,0,1,0,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
21744,0,-1.4179412084253276,0,0,0,0,0,0,1,0,-1.3955687622238973,1,0,0,1,0,-1.0315738790989837,0
12696,1,-0.24956199346071717,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
7720,0,-0.04509563084191032,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
39143,0,-0.39560939533129347,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
31487,0,0.285945146731396,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
37649,0,-0.5416567972018698,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
29225,0,-0.23008900654464032,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
11709,0,2.204034357964965,0,0,0,0,0,1,1,0,3.676963986151493,1,0,0,0,0,-1.0315738790989837,0
50728,0,-0.4637648495375624,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
40231,0,0.6754048850529328,1,0,1,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
32641,1,0.9674996887940854,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
38585,1,0.7435603392592017,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
38778,0,0.840925273839586,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
4551,0,-1.5250426364637504,1,0,0,0,0,0,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
49235,0,0.13989774486081968,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
46818,1,-0.23008900654464032,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
8454,0,-0.24956199346071717,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
35070,0,1.3082769598254302,0,0,0,0,0,1,1,1,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
47178,0,0.09121527757062757,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
49284,0,0.3346276140215881,0,0,0,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
16229,0,-1.3400492607610204,0,1,0,0,0,0,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
9353,0,0.9188172215038933,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
20264,0,-0.39560939533129347,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
114,0,1.210912025245046,0,0,0,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
26203,0,0.7046143654270481,0,1,0,1,0,1,0,0,-0.12743557513004955,0,0,0,0,0,1.6766567270693398,0
28139,0,-1.125846404684175,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
43694,0,-1.3692587411351356,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
8730,1,2.3306087729194642,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
24152,0,-0.8337516009430224,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
8626,0,1.1135470906646618,0,0,0,0,0,0,1,0,1.1406976119637982,1,0,0,0,0,0.5933644846020103,0
49371,0,0.48067501589216444,0,0,0,0,0,0,0,0,-0.12743557513004955,1,0,0,0,1,0.8641875452188427,1
28492,0,-0.5416567972018698,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
19233,0,-0.15219705888033294,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
28902,1,1.9216760476818506,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
40496,0,-0.23982550000267874,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
3400,0,-1.5250426364637504,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
20400,1,2.4279737074998486,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
44951,0,-0.3177174476669861,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
24784,0,-1.125846404684175,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
24335,0,-1.1161099112261366,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
4361,0,-0.24956199346071717,0,0,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
10554,0,-0.14246056542229452,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
35218,0,-1.1745288719743672,0,0,0,0,0,1,1,1,-1.3955687622238973,1,0,0,0,0,0.5933644846020103,0
44176,0,-0.44429186262148557,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
2655,0,0.6754048850529328,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
51763,0,0.655931898136856,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
26802,0,-0.6292852383242156,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
50956,1,-0.7169136794465614,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
49300,0,-1.4276777018833662,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
5598,0,1.6003717635665828,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
9155,0,-0.24956199346071717,0,0,1,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.32254142398517793,0
32486,0,0.13989774486081968,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.8641875452188427,0
20392,0,-1.2037383523484824,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,0
5797,0,0.9188172215038933,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,-1.0315738790989837,0
27744,0,-0.24956199346071717,0,0,0,0,0,1,1,0,1.1406976119637982,1,0,0,0,0,0.05171836336834561,0
15319,0,-0.8337516009430224,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
41090,0,-0.28294425674542045,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
13443,0,0.6754048850529328,0,1,0,0,0,1,0,0,1.1406976119637982,1,0,0,0,0,1.135010605835675,0
23034,1,-0.24956199346071717,0,0,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,-1.0315738790989837,1
8550,0,-0.39560939533129347,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
37782,1,-0.7558596532787151,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
5236,0,-0.39560939533129347,0,1,0,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,1.135010605835675,0
14207,0,0.9674996887940854,0,0,1,0,0,1,0,1,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,1
44684,0,-0.21061601962856347,0,1,1,0,0,1,0,0,-0.12743557513004955,1,0,0,0,0,0.5933644846020103,0
9592,0,-0.8337516009430224,0,0,1,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
52919,0,-0.7558596532787151,0,0,0,0,0,1,1,0,-1.3955687622238973,1,0,0,0,0,-1.0315738790989837,0
6837,0,0.285945146731396,0,1,0,0,0,1,0,0,1.1406976119637982,1,0,0,0,0,1.6766567270693398,0
