,price
49300,9500
5598,83900
9155,15500
32486,37000
20392,25000
5797,55000
27744,6500
15319,12995
41090,47995
13443,45861
23034,25500
8550,58000
37782,24500
5236,32000
14207,62000
44684,20900
9592,16500
52919,29000
6837,73995
10877,49500
8863,22000
31624,61059
51077,20500
5766,75000
20620,16750
38551,22500
27951,45515
32095,15990
25988,17900
16414,7000
19917,37000
12247,26000
34667,35999
1416,28251
41131,23000
12624,25900
39018,17950
37556,12000
6806,40999
9191,26900
42432,58000
11134,3850
52747,24840
33918,30000
24656,21000
42871,26000
26932,16500
28658,13000
9447,6250
10118,48000
14121,57000
8307,60000
5140,12500
35014,14000
10160,21400
11008,12995
21246,54000
3096,35999
1466,85500
36565,9500
12950,19800
15293,18853
53735,28500
1203,16500
51312,35000
13759,12000
838,43449
27071,36750
10808,78999
31944,44000
40995,26450
9668,27900
8365,49900
32167,6300
15526,19977
2678,20000
28978,51900
9502,33999
8015,48950
27158,17599
49272,10000
16594,73000
10372,45000
1878,47500
33405,29000
33333,30000
36246,4200
35257,15900
34860,21499
45060,35999
14062,37900
23199,42500
30264,18000
2751,17700
17806,15000
26874,15300
37934,30000
40941,24900
51236,30000
21564,62999
38878,44605
21223,62425
35217,18500
49934,38500
30880,9800
20168,55000
19648,28900
51040,64500
30149,64000
31207,19998
48353,42500
47046,18000
31380,29990
6100,35900
23676,25000
19516,32999
13001,6600
49986,16500
50772,19900
10680,39900
45025,78000
20761,19950
44830,21500
13758,26999
4426,29000
31028,28000
41172,53999
38,55000
23660,26450
17171,24900
2766,11000
45345,30000
12183,29995
12673,13750
41456,20995
28099,29500
25239,41500
3142,84500
32569,38000
21841,54490
27308,24500
43018,30000
40497,17999
41177,19900
16564,7500
47491,28000
35752,7350
33942,38700
38335,11500
45792,29900
52450,14995
46421,24900
6479,49900
13626,39500
16873,23000
7102,39000
34145,32000
2592,8500
21505,28000
35563,87500
27555,31300
18762,69000
17002,77430
31809,17000
11927,39900
51039,4200
1811,73900
4579,55000
26047,29994
46292,63900
9837,9250
46325,49900
13572,45000
2433,23500
22606,5500
51071,24900
32352,14311
17804,18000
33734,35750
30648,47999
52153,64800
49717,47500
39017,23500
39459,51500
47731,24999
16308,41000
22965,7500
18482,20000
29362,27500
29087,3950
2935,73000
25195,22500
3148,10750
18467,41000
38703,37000
252,44700
43208,17000
13418,25000
1846,25500
8860,53900
46093,55999
5491,42250
3199,6500
14321,18749
50492,48500
5776,49999
9373,16000
28408,36791
30637,33400
26805,28000
43689,8500
51636,47800
46207,48999
45373,12500
22857,34000
39472,4800
13353,43000
43774,44700
51703,36500
231,40999
4135,3999
22044,49500
37160,17000
40344,10499
2233,20995
49661,12500
24442,51500
25719,20997
7793,85500
4406,13900
51167,16500
47024,50000
11353,62595
6105,3000
27493,17500
16385,76500
36030,11500
26246,15499
44950,40500
46523,15999
52335,13715
2325,31900
12106,41500
42220,32000
44251,12000
41945,12950
24717,9875
50944,3600
50051,12998
43192,26990
32870,38000
47607,17900
32346,39500
30141,19500
32679,32000
909,30500
13969,19000
39593,16000
45370,12000
26819,16500
24519,6950
31177,39000
49468,5000
13298,54999
39116,3500
10763,79500
48866,28000
4348,57352
43157,38500
37982,29800
2234,12700
34157,19000
10741,12990
29341,34000
38411,18795
37992,27800
5112,25500
20868,45000
31705,17000
35993,77999
9026,28600
3376,69000
1616,6900
4674,40250
3540,54500
48547,34500
30099,12000
13683,35200
12068,23995
50562,13500
5427,37999
4868,6399
45612,25999
42962,36000
19862,35000
48072,52999
42846,36000
12582,88950
26240,39990
435,53722
52055,42000
44044,80000
34555,84000
27809,4000
39516,21000
42060,37000
42445,59900
8458,10500
16368,12500
4733,50000
23046,36000
7537,21800
41590,84000
53021,36750
9461,55000
17909,34500
37348,42000
7034,24950
43343,39860
52184,40000
42989,35000
54104,40655
50766,16999
23165,6730
10438,15900
47494,19950
49577,17000
1528,31000
23744,43500
51966,22500
6773,9950
52317,80000
37903,7900
11787,12900
13270,14900
35849,11000
21311,62500
10938,28890
52511,12000
32499,33580
47272,46552
33369,62000
5908,49999
41481,47999
22241,14500
21648,39900
29040,24000
8993,62900
31493,44999
7645,16500
42481,45999
13242,16700
37389,31000
36848,8000
9848,4999
28670,55000
22064,34000
35909,28600
14688,42000
30524,6500
43756,38500
30541,7900
46901,74900
51387,21990
17715,10000
48116,37500
45321,53000
29379,38000
6372,17700
31565,54500
267,48000
32994,16000
25653,39687
33448,59000
12833,26500
18006,11400
21600,11999
9233,36800
12648,14500
47016,24900
20856,5800
14238,61350
23226,19998
20469,41100
53715,6000
6870,22500
36993,76900
32723,12500
38541,28000
53273,19500
32764,30900
50686,45480
27984,12500
43269,28500
8105,29999
17184,45000
14845,42000
3807,26816
23012,29999
52969,14000
28927,28000
30450,8500
28688,12433
8760,31300
15461,63000
29922,17550
32592,75000
52137,45000
25931,24900
44557,49999
49386,14950
8693,44000
2668,38999
50333,23000
33998,29000
22371,17000
44194,21000
30341,15995
13156,16000
14948,55000
14504,60500
46176,37999
41435,17000
7978,11500
38240,85000
9388,46999
4565,22999
41654,18500
50045,24500
9392,11600
19497,37050
2534,18650
12634,7000
35866,21500
49906,44000
26381,9999
48730,69995
14274,17000
6380,36000
34519,36000
50475,18700
2769,44999
23134,35200
34118,37000
357,35750
12847,67500
33615,14995
8607,32000
30714,21999
6856,12500
21827,16000
43680,31900
31641,42000
32334,27500
7727,30500
44788,9888
19300,40100
29124,72000
6317,25950
27937,24000
34356,13000
409,50000
20774,22500
20426,30000
6339,17000
42512,28499
36662,53500
27229,10000
52816,69995
12545,7999
38514,21000
11597,63999
16756,10900
27134,26999
50525,39000
32259,33999
46193,13850
23702,60000
37270,6975
28410,19500
6654,19780
50836,5000
35192,60000
33141,18688
41406,41500
52528,49995
15028,24950
10727,36500
20937,9995
13182,17000
24975,51899
39752,22500
38994,15499
54077,46000
13295,37999
12707,32850
49915,16500
5193,18000
5935,30000
48868,6750
4512,46999
23611,11400
49400,44000
50540,13999
27361,55000
18274,45000
30750,15500
20509,14980
8911,22000
7582,39990
51862,26000
11590,31500
12339,17900
15722,42900
46141,50000
16698,26999
26579,42500
10456,42995
9958,16500
13368,29900
32639,65000
20017,30000
14021,28000
35246,21900
45962,9000
25418,5500
48377,39999
13022,7999
15070,15500
3434,45000
54272,37499
4279,12000
24722,33000
10596,17000
14553,65900
18976,34000
35846,33500
6186,27500
33520,34000
44575,9500
18345,5700
38779,19795
48032,18000
18079,35000
37193,38500
37075,22500
12709,41500
52354,18200
16829,29950
4616,9800
52347,9599
3638,30500
40126,26497
35707,28000
45876,86999
7305,55000
1442,6500
4657,15900
14301,10000
39482,52000
3866,41950
52778,24995
21069,36500
8611,69500
16790,14500
48240,26000
20212,20000
24948,23000
41283,2500
5558,9999
34455,29800
6292,63900
20070,69900
40315,40888
27228,65990
18703,32000
52722,55900
21489,15500
875,15900
51643,24000
8670,11200
43851,17800
550,44900
53476,60000
16629,42000
12320,5999
17993,47449
16390,12000
28854,9500
201,27900
6716,20000
32682,6000
26584,23400
44510,67250
9630,41900
14410,52500
271,72900
18543,29500
40641,15900
12932,24000
127,19500
27323,57850
7930,3999
53893,28900
33601,22999
35956,11000
51625,29900
10414,11500
13241,40200
37319,67000
40442,47645
32725,16000
15165,15000
10102,39390
37442,55600
17888,9500
15033,18500
35586,20000
18333,12500
50330,16900
27743,13500
8450,31000
44473,36900
15691,16500
44433,42388
28482,16500
34747,15500
37455,76000
19288,5800
30525,56000
42153,47645
16008,7100
6048,64995
26942,64000
21620,32950
52800,51500
1161,41100
21293,15000
40756,34950
43470,23000
38561,45000
7503,11000
40449,12999
44247,39999
18577,21990
22430,39900
28070,14200
40577,35500
11579,59500
19221,19500
27060,66200
41551,8900
24869,26800
51136,39999
38520,6900
6576,15000
38167,30000
5536,56500
43069,5000
50082,18000
2839,21000
38353,51999
30956,11970
28182,11500
9473,28000
28809,5700
7234,12995
35777,26288
15843,39900
10833,48990
43120,11000
29912,15900
49411,17999
37005,26000
223,5800
9417,45000
4933,28000
37298,36999
25075,16000
43897,10900
45166,8750
31821,36570
10417,36995
10725,16000
7934,24999
8738,35345
13403,22500
8039,13500
44492,13800
51405,48889
15268,31000
32426,20784
52658,15999
12499,18995
34104,7500
42674,10999
9176,15300
39468,71999
9745,10995
24070,33000
3112,75000
54048,39951
22400,33995
27007,7450
5765,64000
19869,4500
20188,11500
10271,45000
692,17000
43090,66000
52894,6800
14677,20500
31134,18750
34319,46000
11708,49500
29146,27000
49033,9499
43358,7500
39634,27899
24543,14500
27389,14500
19990,79999
39330,26500
18173,15000
15423,35000
31693,7000
9096,15500
8788,34900
4698,9999
21637,10000
46319,75500
40059,36500
3588,8500
19525,3850
42759,38000
53020,28000
48741,27899
18416,31599
44991,35500
34365,35690
15419,22000
45091,66000
42313,20000
51471,16995
23950,55000
45852,29500
23295,23000
27894,37999
3262,39000
23214,21900
17366,16000
28146,28900
30394,44900
33732,13999
49659,10000
53212,12900
45508,47500
11864,15000
36954,46000
37695,33000
1373,32100
54145,4999
40884,40250
12525,21500
5852,17800
47243,7500
35911,17000
124,9000
16201,71000
43265,38000
20045,18400
24714,26000
12894,31900
27057,28900
37149,17000
23458,15998
43644,37000
3909,61500
27401,6250
11369,12000
23335,28000
37807,28500
21417,82499
12088,33800
10176,62500
3317,35200
52220,28000
34065,50000
16935,85000
43634,29990
18466,62999
20598,54995
17824,14900
22264,21000
22315,35500
16849,34500
545,14500
17859,26691
14091,7000
23582,32999
2644,19500
7000,39500
32530,34700
53024,19800
26956,43500
52286,21500
34567,7850
34954,65000
18490,54000
47810,15000
16881,28500
15050,21000
15249,10999
30753,78000
34,36500
48411,27000
4226,31755
53210,23500
4321,36000
36796,34562
2806,20500
13425,9000
27453,30999
9184,9250
36756,74900
42619,13000
15798,12250
19311,39999
8317,19500
39648,29995
26262,27500
24243,16800
46577,19000
51674,45500
50495,19000
30903,11500
6507,5995
35084,36000
37169,13500
13825,7900
53823,17900
8503,6499
39595,52500
34171,32450
26235,9999
32229,11499
53334,44800
45316,12999
22578,33000
17361,56000
28660,29500
41376,38500
34738,33400
15168,12500
32102,46750
48000,17000
32100,15500
36865,46900
1450,29000
8389,22500
25659,12500
4525,6900
44853,10900
32106,17000
25411,13900
4854,6500
48360,7950
9159,39995
15714,41500
13076,40200
41560,6800
22718,18000
36536,12000
14802,15400
51420,10500
20021,36990
43883,16000
28871,14995
5499,21900
1428,24850
29846,25000
19450,36000
3137,62500
5727,19500
40701,30000
1783,9499
30191,12500
8914,75500
54103,35000
21418,27000
4879,25000
30688,47350
45188,11000
43155,32900
32977,39500
49525,34900
34833,38900
1497,17500
1002,28995
43352,22500
40649,5000
3648,52000
31020,36950
24883,7599
53828,14599
13992,9650
12242,19995
45193,39900
46984,50000
40647,27900
43338,16999
37367,8900
9678,32500
15986,35500
41145,29998
46972,17000
42752,4700
48887,12449
14227,6500
28047,55900
45197,16900
10731,34500
36765,12500
50077,68750
45606,27499
32616,11000
49168,22000
15900,84000
24295,36990
5229,87500
43671,23000
4843,20995
26303,57850
6460,78000
43856,36000
13103,5750
21190,7000
46050,32500
6968,8500
35492,54999
51826,20000
32850,15000
19702,25900
34456,81500
16502,30000
16264,32999
32686,31700
49641,82000
22712,20900
1932,34600
8049,21000
18608,38000
18969,33500
51224,27500
31645,54000
35790,32850
10421,12700
20097,60000
26135,55000
27545,45999
34972,12500
12922,26500
15264,52999
32052,35999
28125,27000
36661,34500
28431,16000
21003,6950
54201,44500
52940,36495
43017,34900
29632,10700
39228,38532
52140,29999
34557,25000
28730,10499
10348,44900
41380,60995
14473,53000
36788,15995
5346,45855
5078,14995
3744,18750
31541,53600
53073,12000
12788,15999
4013,53999
13122,56000
37452,30000
32408,46500
49952,45000
24450,9499
29270,56000
2073,33500
47605,12998
36802,28500
19000,12499
41900,30000
43606,19395
37659,24900
17515,5900
12033,34700
36567,49900
32513,21900
41573,81500
4620,45000
16852,19500
35692,47995
38193,37500
39047,55000
30360,55655
42841,20900
26838,29999
31877,6500
22945,29444
27818,38000
38107,22495
29437,8500
16106,50000
53692,35000
53464,55000
6614,17900
29014,18999
31067,3200
36012,34900
24287,12900
44530,53000
32949,33000
30017,15000
30620,10995
1515,56000
10016,17800
51917,45770
10032,34645
37786,69900
7057,7500
25112,24900
45081,47000
42489,26000
44622,15500
11840,28300
2041,29990
6867,23000
41117,40000
45049,9999
1382,65000
37230,21000
45411,28900
18769,6000
48100,65000
28673,30000
29312,79950
34393,8900
37101,15300
48111,8000
31189,76000
9698,79999
7992,69900
1768,9950
26361,22500
13864,29995
34068,51500
24091,21500
25397,62500
50445,29000
16739,12990
31229,4300
11600,69500
26944,2500
29971,35000
53712,61950
35918,16750
54060,17800
46087,32300
34271,5199
26245,83900
34787,65000
2245,55000
27182,17500
41426,5000
48929,38000
53484,9000
42009,41250
23397,51900
26247,36999
30155,17000
5562,36727
26282,2000
16531,19900
18004,48000
38173,17000
2936,55000
47092,3900
52681,34500
29829,50999
38217,12900
50792,14900
26847,9500
622,6500
46560,35000
44506,28998
35519,62000
12295,37000
28782,26000
42515,35345
15441,5000
8929,17000
22102,29999
14679,65000
27074,23450
6813,69645
39246,9750
13773,18300
33202,62890
32646,19950
8787,63500
25256,23750
14317,51900
27962,19000
41762,42000
25578,12500
46261,33500
38365,71900
5124,46500
44993,44950
16779,20800
35886,8500
22270,7500
14997,19000
28067,43999
20986,33333
53549,18800
22877,12900
21985,55000
46620,20199
22933,31900
37651,37900
53358,5500
3104,75000
42659,25000
22506,33000
15891,36995
48639,36000
32869,48600
42319,18900
14352,24000
45066,16900
554,7450
26920,12500
17747,25900
18842,19750
37515,77900
16544,17500
30117,7945
36727,18000
4701,34950
41886,71999
34491,18000
38697,19800
28226,68995
51411,10000
23686,42995
36631,12000
18284,15499
1592,5000
31242,31700
1468,6700
2231,17500
45511,21999
25895,36500
45078,35999
18296,34500
13638,40999
37902,9500
33474,26000
35422,19500
53973,13000
9697,4800
53163,10900
36886,69500
17965,4500
2533,62000
41509,9995
12255,31900
13173,5000
11082,62499
4251,31900
23405,23977
19364,17995
32313,42000
37586,12000
2926,32085
48434,15999
23266,35000
52687,6499
47093,39750
34553,60500
31682,31000
20293,19500
13095,21900
10565,21000
36908,56900
8746,8500
54107,20000
43507,31000
37984,31900
52144,6500
5386,36880
3345,12900
1325,36791
49502,35900
35157,28000
702,17700
51884,6250
38725,4000
31419,23750
49722,43550
48514,40500
10210,15000
53992,9950
15535,32000
51613,42500
24285,49900
16378,65990
7786,20000
39492,9000
13723,11500
18272,8995
28687,15900
8900,28600
26449,18000
15623,20850
32590,10995
46056,12449
45299,30000
32578,26900
35369,14000
48336,32000
709,37000
16498,10400
612,38500
28011,27518
37765,33950
45972,12999
36195,21000
37836,15400
27409,62500
41215,53000
30722,14000
4740,54500
26455,13888
17142,9750
51967,13500
4219,11995
33427,57000
6399,39500
27017,27000
21693,40999
39107,50000
47746,26900
24729,77430
10354,74500
49291,26000
53082,36495
12740,15000
19805,32000
8892,36727
14097,20000
33576,13250
3363,19000
17533,40500
45614,29993
53310,3500
40139,45500
11252,12500
39528,87000
22387,31000
48775,24500
41067,81500
16192,25650
38330,12500
6206,24500
30396,20999
47619,25500
14081,37995
20621,34500
23834,28000
44377,67000
40233,44000
42338,18800
24574,59999
42077,25000
48629,12500
22845,69900
52946,9499
31199,7350
8748,20000
42485,5000
27342,33900
31126,6800
8268,26999
4962,12599
50317,44000
25119,7900
43888,48295
43335,48000
42643,13300
51509,16999
42457,17999
29113,11200
34543,21999
42780,44900
1345,8500
11258,15000
7941,17900
14260,10500
5157,53500
27923,14900
19317,9000
7049,4000
13708,8999
26357,18051
51318,26000
38318,30000
13171,18995
12097,35999
15583,3950
2089,62900
39860,29500
2365,23995
5060,23950
33796,83000
11170,31000
24366,35500
25887,42500
15720,61350
24844,66500
51832,17999
38594,38880
34719,45023
41593,39900
14897,12900
7224,4000
46275,27000
23006,40999
46038,10000
29681,17800
21530,65000
36779,9500
27155,55000
2274,9500
46909,6700
13993,42000
12745,23500
52789,10995
37929,50000
13373,38500
7115,35500
48002,24900
13238,68995
52808,13999
251,12800
25262,26000
1153,33500
43978,65900
14009,35900
48365,16500
42173,42950
28565,68500
52411,30919
43854,22995
5338,30000
43015,4000
24001,5200
27519,78900
37739,30000
31150,87500
48940,19995
36729,6250
13273,33531
19615,3850
10367,54000
21322,38500
12477,25500
19817,13500
14481,17000
20920,44646
17430,16500
36591,14000
21174,26500
39016,10500
1922,5500
7204,43500
30814,44000
939,30500
44237,16500
30216,14500
36517,15500
37060,16500
38372,9000
28032,24500
27431,57000
20943,23000
49838,30000
13584,52500
10178,28000
53695,52500
9552,16490
11624,45000
37288,53999
40806,25900
28751,19000
27701,38000
15491,12000
19347,19995
7573,29900
7513,26900
2681,35999
29952,39500
29153,19500
17690,26500
30344,13980
10467,35000
29552,9900
30041,3500
26881,10500
37314,72999
48673,62500
47222,26000
51985,7900
50164,27000
17417,2500
27846,35500
29196,29000
4257,36500
7932,84500
7954,15100
3265,15750
9753,7500
23127,28999
14322,14500
52611,24950
4112,15495
46734,64900
47715,6500
50257,11970
25309,15450
3839,21500
12385,32000
20745,33500
42158,11200
33900,68500
27437,28748
22717,50900
39175,82000
20149,12599
15351,60500
49414,59000
34361,34700
14746,18500
16337,19500
45180,12900
42823,17999
11824,50900
37254,20900
42896,69000
10693,84645
32410,13500
11410,34000
11772,12500
10936,24995
38198,8500
48726,42900
20585,41999
14028,24999
48260,54500
27679,79950
38735,75000
27126,60000
4503,30000
53955,31990
27189,7500
31860,31000
31961,28000
51503,77535
41850,12500
45302,6500
30208,29000
25486,24900
39981,9999
16025,28900
23573,25900
6384,35800
8074,76500
47363,52500
48766,19995
2395,6900
35577,18000
33567,85495
28655,20900
49373,24000
19099,69995
39836,23000
32720,6900
3710,6000
12039,49000
1216,66500
31183,7858
39272,28000
40111,23000
12641,10500
3565,49995
26618,59900
16781,77535
19924,10500
10984,18500
17483,24000
890,39995
5799,45000
39740,11900
29976,13000
16548,12749
15034,4000
26686,31000
50668,48000
50393,4900
25,65000
31071,44850
27516,39900
60,28499
37146,13500
18402,45500
27379,14000
8827,87500
1780,22989
4597,65000
2275,5800
14787,27500
42296,13000
53858,15000
28802,51900
12100,25950
5349,44888
1189,36950
50950,42500
37802,27900
9565,16000
17780,71000
50135,29500
5351,10500
16118,44800
32712,8400
52674,23500
45917,48600
24533,4200
22156,44000
21401,44850
12700,39000
17547,36800
36804,52900
39888,30000
20482,16000
32731,27000
42521,20000
13397,17900
16850,23500
39827,6000
36667,32000
46562,21900
41529,44000
44313,28000
19232,46787
28796,39500
33208,31500
1069,14000
20784,15500
15064,16500
4538,22500
28657,10795
53821,14999
6538,14995
2690,44800
39728,15000
30696,34645
39308,17500
28313,32000
35614,36500
17213,21990
38626,49500
23709,40750
24523,75000
38485,15750
42404,27000
28720,35900
40832,36995
50758,61000
40816,45900
46289,65000
26465,33000
14957,5500
47957,27350
34488,32000
5724,4200
1188,13349
32306,10000
52654,44900
48289,15000
41069,27500
13957,18300
4150,7999
1247,55000
39071,2500
23508,17500
31210,60500
25949,11400
46540,24950
39200,31000
9581,27900
38535,30000
33845,55000
43103,17500
23728,33333
9521,6800
14934,5995
17704,12000
41849,42500
14324,18900
4707,44500
21569,24950
3039,7500
20389,39000
18057,19950
52363,17000
5787,21750
14654,11499
9805,17999
29674,34000
41416,78499
1749,9000
38505,68500
15577,37900
23798,15000
23680,38000
48472,11500
2635,50000
52124,27000
9253,86999
25375,39900
27076,17495
698,2000
52145,12000
23128,11000
50583,45000
28505,6500
19847,35273
4964,60500
14195,22000
31807,8000
40648,16000
4787,39777
31316,54000
13,28250
22892,47449
20656,21500
23818,33580
2948,12500
11828,36500
35555,10300
38756,74900
18967,12000
33926,15900
23239,10999
44477,11995
40783,53500
46796,85950
25433,52500
49054,36950
49801,17999
2182,38500
46153,36000
47169,29995
19644,86999
16314,17000
15964,23000
50644,28000
31185,41500
2672,29900
38519,76000
94,31000
35939,11500
6509,16500
5139,20999
2466,75000
8753,18500
41950,64990
21093,11500
34818,21500
51157,40000
34474,19999
14987,37995
47588,13000
12594,14999
25080,24950
36339,35999
4858,11999
5225,8950
7910,45000
26191,42000
30641,4100
32563,18900
21526,19425
18735,18200
6063,50999
1726,15999
46779,12500
41602,12300
1635,21500
13595,30000
50084,18900
1119,31900
8559,41950
34722,30500
7280,52500
9450,36000
32897,80900
486,6999
1042,42000
5577,19750
30666,41688
37511,15000
2608,15000
49308,37000
27959,3999
17446,62890
18118,13450
26376,17498
47517,9975
42558,22800
47040,24999
53268,42950
33875,32000
41347,8500
21797,26750
35354,30000
31293,24900
11099,42691
10272,38500
36656,17500
51197,30989
2021,19500
18815,28000
38844,2300
54101,54999
14075,15000
22577,11800
8949,50000
1404,17900
20480,29975
35723,13999
27271,89000
30200,14900
41445,25900
30088,20000
17606,13500
22087,6600
50146,32500
14621,10999
33643,52500
33790,3750
11269,21900
24389,79999
13271,7200
18233,65000
52504,47214
36383,17950
32565,22999
8898,31000
39557,63900
42994,49900
53266,16488
15915,40000
34408,18700
18532,20150
39291,17500
36318,52000
42813,18000
16392,9000
9105,15700
8,13999
37191,8500
27831,22450
26244,35000
14593,39000
32745,30000
23575,37500
10089,39900
16085,17899
29898,10000
42509,16000
29247,14500
29174,13600
53,20900
3122,17500
51410,70000
50418,69900
33614,6000
11604,74500
48592,32000
41746,18000
5302,39999
30095,14950
39560,69900
38683,47995
9432,27500
49311,18000
18187,20900
29210,17500
24281,63900
25364,19500
53526,38900
577,8500
30160,64000
43687,15000
46583,43000
11251,16500
8326,21990
18837,49999
35891,63100
9019,7200
48571,11900
50389,10500
26174,25999
16741,11000
6962,2300
15625,34900
47887,14599
10683,26000
9272,18999
19315,17999
22917,9950
9237,35500
31983,6730
42547,51950
29881,36800
14697,14945
46270,43000
17892,80000
21893,36999
24517,23000
23597,44900
23027,11900
15466,42950
45914,39777
3626,46000
15994,15000
54229,20000
35189,16975
44020,39000
19010,35000
30955,21000
18355,78000
16730,38900
30773,43860
13548,9995
18015,50000
47669,72950
46165,43000
3397,13250
21273,52500
38705,26000
22707,31000
15617,38000
41378,6300
1595,13900
10392,22500
40707,18000
50982,26500
34122,72777
39020,49999
47146,6500
40123,17900
38845,14000
36754,32000
41424,18000
18021,12500
17618,24000
41663,24700
1601,10500
9600,11500
52228,35645
46427,12500
17261,10500
22447,32000
17463,15000
15209,26999
46262,17550
51719,17995
41168,40459
19555,36969
21371,45999
11803,15500
10771,19995
28251,3999
9210,41950
2132,50204
37938,54900
6028,28000
18400,29500
13665,33995
38804,69900
16156,15500
11942,7999
11282,15900
33201,8500
1892,53722
39927,71400
37637,28900
52185,12900
18615,29000
12930,22000
36403,72950
6747,10900
40199,43500
1065,19000
22251,32000
23296,88900
44685,15900
2244,13995
1686,28500
42056,30499
48134,22000
46906,37000
34067,32000
36118,30000
35514,10750
23731,71000
42729,32000
6022,35000
48331,30000
16211,13500
28755,85000
49752,37050
1725,28000
26637,76500
14860,16000
20175,36000
14314,28500
32887,22999
46780,6999
39351,55000
8712,28750
20416,10999
32112,26000
38502,10300
44534,31500
39664,24500
38771,8500
35194,11499
6914,15900
24253,14500
12435,32000
36608,6500
46008,15300
35334,27500
36995,27750
44303,28000
4015,25000
5580,9000
17867,28000
47571,25695
15308,14000
24481,14800
31648,10400
10859,6999
28805,17899
5880,42900
37281,41500
27415,85000
6369,58504
53924,36500
37956,5750
32368,17000
20912,3600
7270,73000
7199,14500
41871,37000
11810,20000
20902,22000
5196,39000
26866,70999
24891,39860
22879,63500
43139,53500
27150,53500
19567,3500
13113,75000
39620,3200
9939,7500
46449,8400
22234,79990
6359,44750
12366,15999
12516,46900
1498,38532
18427,17999
26602,29500
1581,42995
44513,28000
45107,38405
34710,13500
49228,38900
41073,54500
14736,16770
4686,21900
41692,43147
32741,60500
12155,26485
47563,55000
24171,15000
18,31900
28353,40000
53666,24000
9779,4200
26469,36969
31402,32000
17568,10000
3147,52900
15335,22000
8338,14995
34752,25700
24394,4999
38033,26125
44158,39000
6451,33900
30919,28250
36453,13000
454,42950
31713,7000
38088,51500
10902,10500
31720,57480
31274,84900
44987,37995
1410,23995
28519,27700
42456,34950
18603,30000
53054,38500
18590,3999
48181,32950
42490,13995
37246,50000
37990,5995
10703,29000
37090,43000
38230,11200
12483,4200
13908,32500
39106,31900
12014,24500
1012,38900
13986,25900
42213,19395
11122,39500
53416,18995
46565,16500
41778,4500
19963,15000
52519,81000
3511,68500
17223,35113
44671,46000
44581,8000
40005,88900
34560,32500
23629,35000
53371,20500
38730,16000
31728,46500
44482,10900
24622,5500
27948,10500
18434,15900
13533,17900
38562,35297
50884,33900
7185,18300
9596,40000
17192,16750
24661,45000
52174,21000
13222,8250
16980,57300
9377,56000
15125,42999
18194,14500
44121,20900
488,34500
35722,71000
46812,9999
29550,23500
19107,14500
51280,15500
27154,17816
24563,78000
29334,19500
3369,59335
33027,8900
46267,9999
46926,22389
44187,79900
23606,18000
49826,26900
40833,28300
37231,37995
12263,18000
46590,68500
32580,52991
18954,5000
22598,10990
21910,29500
33440,50000
30570,11500
29629,12000
52454,17000
11089,29950
302,6500
25581,20900
24829,27000
3379,17000
9711,9500
39661,57480
130,8550
51298,8500
20434,48000
10667,9500
26573,26772
